Date,OptionType,StrikePrice,ExpirationDate,OptionPrice,StockPrice
2023-05-19,call,113.39472915656894,2024-01-01,2.732455154202345,99.8234145317873
2023-10-09,call,151.81632769477616,2024-01-01,3.273103773730547,144.48325627518932
2023-05-22,call,84.62556418359797,2023-06-10,15.619123276458595,100.02461588678848
2023-07-06,call,100.34690908357588,2024-01-01,8.808684659105232,103.44114103642876
2023-07-13,call,99.58056226010612,2023-08-27,6.8098344024745785,104.97612258483572
2023-03-18,call,118.54580439955757,2023-03-30,0.00018869518656935633,104.03555272979465
2023-08-10,call,134.8777828118735,2024-01-01,1.1613401454153198,115.81346781220068
2023-11-12,call,148.96447228217713,2024-01-01,3.623959465030538,146.4192592430835
2023-08-15,call,121.37080490216758,2024-01-01,3.7585664522399327,114.53739393264011
2023-03-03,call,128.05655261615206,2023-04-29,0.0681525077488292,108.03223417626113
2023-10-10,call,150.9578769750872,2024-01-01,3.9362634742930425,145.52016247567914
2023-04-07,call,97.10502999806953,2023-04-15,2.229729471222811,98.74053753895669
2023-07-06,call,122.89816111881342,2024-01-01,1.1661489523524828,103.44114103642876
2023-01-29,call,119.93105350157158,2023-03-07,3.2522025867564324,119.74750705436504
2023-08-30,call,126.41957292655125,2024-01-01,7.274437636500636,126.96669420437374
2023-02-14,call,101.40948999816989,2023-10-26,17.29778035569244,113.40769585691368
2023-12-03,call,138.1257119009857,2024-01-01,12.119279725830637,149.4423135706953
2023-10-27,call,129.75192902364716,2024-01-01,25.08815801241832,153.59279708294184
2023-08-05,call,123.93888279380252,2024-01-01,1.9378405614690308,110.33696998549671
2023-04-28,call,95.93337315114807,2023-10-04,9.526359287381126,101.0874640432464
2023-04-08,call,92.95792729230034,2023-10-28,13.016791812806147,101.66966293645007
2023-09-23,call,137.0959737186855,2024-01-01,2.8704443186788424,128.768537214806
2023-07-30,call,115.55714117986007,2024-01-01,2.7759779129344544,105.8594619124537
2023-11-11,call,131.11352844618662,2024-01-01,15.608365083670748,145.49784271197103
2023-07-23,call,88.28352105135212,2024-01-01,21.123867764123446,107.18797387857443
2023-02-02,call,118.7883366861648,2023-12-24,9.346278056364326,115.07646970976505
2023-09-09,call,127.86292891062412,2024-01-01,7.7998228473029485,129.68918343485953
2023-06-26,call,84.45048141467744,2024-01-01,17.639051205554438,99.35092351649457
2023-01-20,call,99.92894532741057,2023-02-03,16.810867073093547,116.54831805213651
2023-09-27,call,116.91456662916762,2023-10-24,13.251408930492474,129.6732149870355
2023-12-06,call,162.41068367210366,2024-01-01,0.6495016421975031,153.10271789880971
2023-05-07,call,88.28643417432386,2024-01-01,18.858241835585574,103.41290873841604
2023-10-08,call,124.6703012011382,2023-10-15,18.7489935981651,143.29980509284542
2023-06-17,call,97.86355464600378,2023-09-27,5.915503980268767,99.68120859039125
2023-03-02,call,86.42695149246727,2023-12-11,24.307683880518738,106.8595321541104
2023-10-12,call,121.86825858818209,2024-01-01,25.941844358918658,146.37572261788293
2023-12-24,call,183.31532578266433,2024-01-01,4.757401528011004e-09,154.64611513026188
2023-10-29,call,137.72298199471254,2024-01-01,19.44846581948005,155.6627528837162
2023-08-23,call,121.12773068131042,2024-01-01,7.105176363152168,121.51686221360353
2023-08-10,call,132.59254611735824,2024-01-01,1.4902765735156045,115.81346781220068
